No,title,main_genre,release_year,duration
1,Tarung Sarung,Action & Adventure,2020,116
2,The Night Comes for Us,Action & Adventure,2018,121
3,Headshot,Action & Adventure,2016,119
4,Buffalo Boys,Action & Adventure,2018,103
5,Merantau,Action & Adventure,2009,112
6,June & Kopi,Children & Family Movies,2021,90
7,Cemara's Family,Children & Family Movies,2018,110
8,Satria Heroes: Revenge of the Darkness,Children & Family Movies,2017,92
9,Garuda Di Dadaku,Children & Family Movies,2009,96
10,Garuda in My Heart 2,Children & Family Movies,2011,95
11,The Rainbow Troops,Children & Family Movies,2008,119
12,A Perfect Fit,Comedies,2021,113
13,Mariposa,Comedies,2020,116
14,The Heartbreak Club,Comedies,2020,101
15,Too Handsome to Handle,Comedies,2019,106
16,Bridezilla,Comedies,2019,94
17,Whipped,Comedies,2020,98
18,Crazy Awesome Teachers,Comedies,2020,102
19,My Stupid Boss,Comedies,2016,107
20,My Stupid Boss 2,Comedies,2019,95
21,Target,Comedies,2018,91
22,Arisan 2,Comedies,2011,113
23,Because of Soccer,Comedies,2008,75
24,Love You... Love You Not,Comedies,2015,115
25,Single,Comedies,2015,127
26,The Gathering,Comedies,2003,124
27,Islands of Faith,Documentaries,2018,88
28,Si Doel the Movie 2,Dramas,2019,95
29,Story of Kale: When Someone's in Love,Dramas,2020,78
30,Tersanjung the Movie,Dramas,2021,114
31,Generasi 90an: Melankolia,Dramas,2020,94
32,Geez & Ann,Dramas,2021,106
33,Layla Majnun,Dramas,2020,119
34,Tanda Tanya,Dramas,2011,102
35,100% Halal,Dramas,2020,101
36,Eggnoid: Love & Time Portal,Dramas,2019,102
37,Kartini: Princess of Java,Dramas,2017,118
38,Love Like the Falling Rain,Dramas,2020,87
39,Ave Maryam,Dramas,2018,73
40,Hunter in the Blue Side of Manchester,Dramas,2020,89
41,#FriendButMarried 2,Dramas,2020,104
42,Milea,Dramas,2020,100
43,One Day We'll Talk About Today,Dramas,2020,128
44,Si Doel the Movie 3,Dramas,2020,93
45,#FriendButMarried,Dramas,2018,102
46,Dilan 1990,Dramas,2018,109
47,Dilan 1991,Dramas,2019,118
48,Si Doel the Movie,Dramas,2018,86
49,This Earth of Mankind,Dramas,2019,180
50,Love for Sale 2,Dramas,2019,96
51,Aruna & Her Palate,Dramas,2018,106
52,Posesif,Dramas,2017,102
53,Verses of Love 2,Dramas,2017,127
54,Love for Sale,Dramas,2018,101
55,Verses of Love,Dramas,2008,126
56,Habibie & Ainun,Dramas,2012,125
57,Rudy Habibie,Dramas,2016,143
58,Surga Yang Tak Dirindukan,Dramas,2015,121
59,Surga Yang Tak Dirindukan 2,Dramas,2017,119
60,3 Heroines,Dramas,2016,124
61,5CM,Dramas,2012,126
62,Cahaya Dari Timur Beta Maluku,Dramas,2014,151
63,Chaotic Love Poems,Dramas,2016,86
64,"Emma' (Mother)",Dramas,2016,74
65,Filosofi Kopi The Movie,Dramas,2015,118
66,Galih dan Ratna,Dramas,2017,111
67,Gie,Dramas,2005,141
68,Soekarno,Dramas,2013,142
69,Surat Dari Praha,Dramas,2016,98
70,The Dancer,Dramas,2011,105
71,The Dreamer,Dramas,2009,121
72,The Jungle School,Dramas,2013,90
73,The Sinking Of Van Der Wijck,Dramas,2013,163
74,"What's Up With Love?",Dramas,2002,110
75,The 3rd Eye 2,Horror Movies,2019,117
76,Suzzanna: Buried Alive,Horror Movies,2018,126
77,Danur: I Can See Ghosts,Horror Movies,2017,75
78,The Doll,Horror Movies,2016,106
79,The Doll 2,Horror Movies,2017,117
80,Sabrina,Horror Movies,2018,114
81,May the Devil Take You,Horror Movies,2018,111
82,Kuntilanak,Horror Movies,2018,106
83,The 3rd Eye,Horror Movies,2018,108
84,Check The Store Next Door: The Next Chapter,International TV Shows,2020,2 Seasons
85,Hati Perempuan,International TV Shows,2015,1 Season